1. Name: x, Type: int, Value: 3, Domain: global, Constant: no
2. Name: y, Type: int, Value: 0, Domain: global, Constant: no
3. Name: a, Type: int, Value: 0, Domain: f, Constant: no
4. Name: b, Type: int, Value: 0, Domain: f, Constant: no
5. Name: c, Type: int, Value: 0, Domain: f, Constant: no
6. Name: d, Type: bool, Value: false, Domain: f, Constant: no
7. Name: e, Type: float, Value: 0, Domain: f, Constant: no
8. Name: t, Type: int, Value: 0, Domain: h, Constant: no
9. Name: s, Type: bool, Value: false, Domain: h, Constant: no
10. Name: ss, Type: bool, Value: false, Domain: h, Constant: no
11. Name: x, Type: int, Value: 50, Domain: numere, Constant: no
12. Name: y, Type: int, Value: 50, Domain: numere, Constant: no
13. Name: suma, Type: int, Value: 57, Domain: suma, Constant: no
14. Name: dif, Type: int, Value: 0, Domain: dif, Constant: no
15. Name: nr, Type: numere, Value: 0, Domain: global, Constant: no
16. Name: car, Type: masina, Value: 0, Domain: global, Constant: no
17. Name: str, Type: string, Value: Proiect la lfac, Domain: main, Constant: no
18. Name: v, Type: int[10], Value: 3 4 0 6 0 0 0 0 0 0, Domain: main, Constant: no
19. Name: x, Type: int, Value: 9, Domain: main, Constant: no
20. Name: constanta, Type: int, Value: 6, Domain: main, Constant: yes
21. Name: verif, Type: bool, Value: false, Domain: main, Constant: yes
